160368,- The Remastered version adds in information about the 1999 Ri
160370,- Remastered version released in 2010 adds in information abou
1231123,- The DVD releases have new animation or removed dialog at the e
1493479,- In the half-hour edited version as aired on Carol Burnett and
1596627,"- In the original version of this review, the Critic remarks abo"
1663081,- An alternative cut of the film was released theatrically in 20
1817059,- The DVDs have 2 versions for Censored and Uncensored.
1839377,- In Germany most episodes are cut for violence to secure a Not
1877619,- The US version runs three minutes longer because of the repeat
1935721,"- Although rated not under 18 the German Video-Release, publis"
1935735,- Available in 52 minute or 1 hour 45 minute full length theatri
1986953,"- After receiving many angry phone calls and letters of protest,"
2033664,- There was a home video release during the 1980s that was an ex
2151521,- Overseas prints are longer than U.S. prints; including extra s
2183038,- Two additional scenes were added to the broadcast television p
2243120,- The PG-13 and Unrated versions of the movie include several no
2378329,- Bruce Conner revised this film's footage and soundtrack in 199
2411643,"- In the ADV dub, numerous changes were made to better make the "
2478313,- A wide screen remake in Soviet Kinopanorama of Vallatud Kurvi
2479109,- A restored version was finished in Moscow in October/November 
2479581,- The Unrated DVD contains about a minute of new footage. It inc
2479681,"- When the film was released on DVD, the Buena Vista logo at the"
2480084,- SPOILER: Footage of the beating of Nancy from Bill was cut in 
2480369,- It is well known that both parts of Olympia were made in three
2482457,"- Starting on 29 February 2004, TCM (Turner Classic Movies) chan"
2482961,- There are about 12 minutes of additional material in the Dire
2483725,"- From its original broadcast, the entire film, including the cl"
2486847,- This film is a short version of the feature-length script Ope
2487180,- Available in both R and Unrated versions.- The version prepar
2487491,- Original German version was edited by ca. 22 minutes. Kinowelt
2489349,- A color remake with identical soundtrack was released in 1941.
2490564,- The U.S. theatrical version released by Columbia Pictures cut 
2492989,- UK versions are cut by 31 seconds for an '18' rating.
2493164,- Computer and jukebox voices dubbed for US release along with a
2502746,- Rereleased in 1995 with new scene.
2504012,- Two versions are available: an MPAA R-rated version and a long
2504353,- The US version had a prologue read by 'Eleanor Roosevelt' (qv)
2505016,- Original Australian version features a music score by Brian Ma
2505310,- The Italian version is approx. 20 minutes shorter and removes 
2506104,- Available in both R and unrated versions.
2506361,- The 1st cut to be released is the 2013 Action Film Challenge 
2508074,- The version that premiered at Screamfest at Universal Studios 
2512136,- There were two versions of the game released. One a hardcore a
2514072,- Additional sex scene appears in the European version.
2515935,- The film starts with a drunk witch in black silhouette crossin
2516028,- The 1954 re-release marked the last time the film was distribu
2517610,- Striptease scene usually cut from American prints.
2517760,"- In a television version, there is added footage during the New"
2517875,- A 91 minute version was part of the Grindhouse (2007) double
2518281,- TV version has much of its dialogue redubbed and shots refilme
2520200,- The original release included narration by 'Michael Fox (I)' (
2520316,- All television airings delete the scenes of the three black ki
2521321,- Several different endings and a number of alternate scenes wer
2524016,- The EastWest DVD budget double feature version of Popsy Pop (p
2524504,"- This cartoon was colorized in 1995, with a computer adding col"
2524512,"- In a tv version, the boys are wearing underwear as they run fr"
2524514,- This cartoon was colorized in 1968 by having every other frame
2524515,- This cartoon was colorized in 1968 by having every other frame
2524518,"- This cartoon was colorized in 1995, with a computer adding col"
2524521,- This cartoon was colorized in 1968 by having every other frame
2524535,"- This cartoon was colorized in 1992, with a computer adding col"
2525420,"- For the International release copy, there is an alternate vers"
2528582,- The Russian version is entirely in the Russian language. The v
2530300,- German Video-Release (rated not under 18) misses much of the v
2530621,- Also released in an abridged version lasting 94 minutes. As we
2533841,- Professor Madman's Time Machine
2534753,- CBS edited 19 minutes from this film for its 1983 network tele
2534933,- UK cinema and video versions received 8 secs of mandatory cuts
2536527,"- In the suicide scene, it was originally written that Herman Ba"
2537655,- The Director's version screened only at film festivals. The TV
2540613,"- Released by Xenon (as Killer Hillz), this version is taken f"
2541138,- German version was heavily modified to remove all traces of bl
2541960,"- The original videotape release is only about an hour long, rem"
2542415,- The film has been restored by the Archives du Film du Centre N
2542595,- The French track of the DVD plays The Prayer after Looking 
2543705,- Nine minutes added for the limited New York theatrical run.
2548415,- The UK cinema version was cut by the BBFC to remove shots of a
2552311,"- In 2005, Turner Entertainment Company copyrighted an 81-minute"
2554492,- a) remake of the french movie 'Un carnet de bal' (Julien Duviv
2555051,"- Revised and blown up to 16mm in 1994, with a new soundtrack"
2555256,- Recent network television (ABC) edition (aired 8/15/2005) rein
2556099,- The delayed echoing effect that is heard when a character is s
2556574,- The US PG-13 rated version cuts out some nudity.
2556600,- An alternate version runs 26 minutes. It includes several addi
2557066,- The ear slicing scene was cut in the Finnish VHS release- Rep
2558454,- All Nazi symbols were removed in the German version due to law
2558454,- The PS2 version omits the multi-player component- If you beat
2558539,"- When it was aired on the Disney channel, the following were cu"
2558988,"- This film exists in two versions, a 29 and 38 minute version."
2558991,- The version included on the 2007 DVD and Blu-Ray releases is d
2559137,- The Australian Video version (released by Syme Video) has all 
2559664,- There's a new 2007 Director's Cut DVD release of the movie in 
2560446,- Released in Great Britain at 155 minutes; some of the prints r
2561272,- Two versions of this movie exist.  In the cut shown on Myster
2561398,- The studio version of the Birdemic riff contains alternate dia
2562673,- The film was released in two versions: an R-rated version runn
2564750,"- On DVD and Blu-ray Disc, the 16-minutes longer Director's Cut"
2566070,- The PlayStation 2 and GameCube versions of this game differ fr
2567692,"- The extended version of the movie features two new sequences, "
2571984,"- Shot at same time as Carnival Story, with same cast, except st"
2572408,- 1966 rerelease had 3 new scenes: naked women spray shaving cre
2574869,"- In the initial August 2002 theatrical release, Rachel Roberts,"
2578332,- The British DVD by Optimum Releasing has 5 minutes cut omittin
2579563,- Also shown in computer colorized version. This version was pre
2579786,- Four versions of this film were filmed at the same time: with 
2580591,- Also released in a 3D version.
2583276,- The film was rejected for UK cinema and finally released on DV
2583284,- The original UK cinema version was heavily cut by the BBFC wit
2584037,- In the originally released version Dano Sulik and Daniel Valen
2584150,"- Four of the six videos in this collection -- I Want You, To th"
2584166,- Additional footage starring 'Linda Blair' has been inserted in
2584206,- The film was rejected for cinema in 1984 and later for video i
2584408,- The DVD features four deleted scenes: - Record Store: A scene
2584866,"- Also available in an unrated director's cut version, which res"
2587978,- Some USA video editions are edited to suppress the full nudity
2588496,"- This cartoon was colorized in 1995, with a computer adding col"
